# ----------------------------------------
# Corp Site - GA4
# Growth Dashboard Data-1 — Engaged Sessions by date
# 20260415-20260515
# ----------------------------------------

Date,Total users,Engaged sessions,Sessions
,189021,31215,191284,Grand total
20260423,19193,2755,19262
20260422,16450,2185,16339
20260429,15501,2187,15294
20260416,14854,1670,14906
20260417,11889,1230,11891
20260421,11499,1329,11369
20260506,11156,2036,10792
20260424,9850,1552,9965
20260505,9023,1819,8877
20260507,7360,999,7226
20260430,6763,1264,6942
20260513,6721,1333,6661
20260427,6190,1167,6361
20260512,5892,1211,5929
20260504,5381,1074,5302
20260415,5026,1221,4914
20260508,4454,681,4519
20260428,4318,761,4403
20260514,3987,756,4100
20260501,3364,619,3389
20260511,3112,695,3166
20260420,3033,693,3046
20260503,2346,429,2345
20260418,2041,289,2042
20260419,1420,317,1418
20260509,662,152,667
20260425,447,223,455
20260510,436,162,442
20260426,435,260,445
20260502,325,137,329
20260515,71,31,71

